Total
359045
378335
405012
428337
439918
447273
442774
466762
484224
488956
499311
525502
507959
505617
496389
492639
485658
470216
473030
478249
472570
463635
471054
470883
473877
482596
501939
518462
516833
525139
533887
543599
551050
564772
584601
607556
627730
664589
695083
729632
752076
786515
797480
812241
806290
800563
781218
777361
765242
753952
746063
738746
742333
723131
716367
723639
687882
663145
646259
647338
627379
610702
594045
552630
534143
507346
505280
500651
465788
452767
466184
482936
437006
412679
425663
398969
385979
327435
295046
352949
227884
249187
268516
280985
257340
239306
226570
205122
174933
156040
127723
107324
83341
68317
52261
40009
29438
21283
14111
9629
47329981
